study_ID_Ancestry,StudyID,Who,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,N,Population_pop,Who_pop,Article_link,CrudeName,EthnicGroup,EthnicGroup_Notes,Subpopulation,Other_Classification,Location,Biome,Country,Lattitude,Longitude,Region,Sedentary,AcculturationLevel,ReferenceSource,SerumLevel_mg_dL,SL_SD_mg_dL,SL_SE_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY
AUA8_A,AUA8-A,Emily,Australian Aborinigals,F,25,25-34,34,NA,64,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,193.35,NA,NA,36.7365,NA,127.611,NA,123.998,NA,Australian_Aboriginal
AUA8_A,AUA8-A,Emily,Australian Aborinigals,F,35,>35,,NA,108,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,220.419,NA,NA,36.3498,NA,139.212,NA,185.997,NA,Australian_Aboriginal
AUA8_A,AUA8-A,Emily,Australian Aborinigals,M,35,>35,,NA,86,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,228.153,NA,NA,32.0961,NA,131.478,NA,256.853,NA,Australian_Aboriginal
AUA8_A,AUA8-A,Emily,Australian Aborinigals,M,25,25-34,34,NA,43,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,232.02,NA,NA,34.4163,NA,143.079,NA,221.425,NA,Australian_Aboriginal
AUA8_A,AUA8-A,Emily,Australian Aborinigals,M,15,15-24,24,NA,60,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,201.084,NA,NA,30.5493,NA,131.478,NA,177.14,NA,Australian_Aboriginal
AUA8_A,AUA8-A,Emily,Australian Aborinigals,F,15,15-24,24,NA,76,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1988,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,189.483,NA,NA,37.8966,NA,123.744,NA,115.141,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,F,25,25-34,34,NA,58,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,185.616,NA,NA,33.2562,NA,119.877,NA,132.855,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,F,35,>35,,NA,116,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,201.084,NA,NA,32.0961,NA,123.744,NA,194.854,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,M,15,15-24,24,NA,65,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,197.217,NA,NA,30.5493,NA,131.478,NA,168.283,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,M,25,25-34,34,NA,40,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,224.286,NA,NA,30.1626,NA,143.079,NA,212.568,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,F,15,15-24,24,NA,66,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,174.015,NA,NA,35.5764,NA,116.01,NA,115.141,NA,Australian_Aboriginal
AUA8_A,AUA8-B,Emily,Australian Aborinigals,M,35,>35,,NA,79,Australian Aboriginal,Emily,AUA8,Australian Aboriginal,Australian Aboriginal,,,data collected in 1995,central Australia,tropical desert,Australia,-23.720061,133.841166,Oceania,NA,Unacculturated,Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities,224.286,NA,NA,29.7759,NA,123.744,NA,292.281,NA,Australian_Aboriginal
AUS4_A,AUS4-A,Gisele,Australians,M/F,15,15+,,53,99,Australians,Gisele,AUS4,Australians,Australians,,,known diabetes,Darwin Australia,Tropical savanna,Australia,-12.4637,130.8444,Oceania,NA,Integrated,Complications of diabetes in urban Indigenous Australians:The DRUID study.,193.35,NA,NA,37.1232,NA,NA,NA,212.568,NA,Australians
AUS4_A,AUS4-B,Gisele,Australians,M/F,15,15+,,47,36,Australians,Gisele,AUS4,Australians,Australians,,,new diabetes,Darwin Australia,Tropical savanna,Australia,-12.4637,130.8444,Oceania,NA,Integrated,Complications of diabetes in urban Indigenous Australians:The DRUID study.,204.951,NA,NA,36.3498,NA,NA,NA,212.568,NA,Australians
AUSa,AUSa,BENJA,Australia Aboriginals_Female,Women,NA,NA,NA,NA,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distinct,NA,Rural,doi:10.1016/j.atherosclerosis.2008.03.022,179.4288,7.734,NA,33.2562,1.5468,144.2391,7.734,144.6625,15.0875,Australian_Aboriginal
AUSa,AUSa,BENJA,Australia Aboriginals_Male,Men,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distinct,NA,Rural,doi:10.1016/j.atherosclerosis.2008.03.022,194.8968,33.2562,NA,30.5493,1.9335,161.6406,11.2143,190.8125,25.7375,Australian_Aboriginal
AUSG,AUSG,BENJA,Australia ANHF study,Overall,NA,NA,NA,NA,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,NA,Overall,https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.111.028373,212.685,42.537,NA,50.271,15.468,135.345,38.67,124.25,62.125,other
Australia,Australia,BENJA,Australia,Overall,NA,NA,NA,NA,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,NA,Overall,https://onlinelibrary.wiley.com/doi/full/10.5694/j.1326-5377.2010.tb03449.x,208.0446,1.5468,NA,56.4582,0.3867,124.9041,1.5468,133.125,2.6625,other
BAN3,BAN7-B,Ashley,Banta,M/F,,,,46.6,645,Bantu,Ashley,BAN7,Bantu,Bantu,,,,Madilu,Savanna,Tanzania,-6.369,34.8888,Africa,Nomadic,Unacculturated,"""""Blood pressure and atherogenic lipoprotein profiles of fish-diet and vegetarian villagers in Tanzania: the Lugalawa study"""" Pauletto et. al.",NA,NA,NA,37.8966,11.2143,NA,NA,117.7981,65.5418,NA
BAN3,BAN4,AYANA,Bantu,M/F,20,20+,,33,22,Bantu,AYANA,BAN4,Cameroonian pygmies,Bedzan,"Not sure how to classify as no alternative names are suggested and this is a large classification, but Camaroonian pygmies is a dated term

http://www.pygmies.org/bedzan/
",,,Camaroon,Tropical Rainforest,Camaroon,7.3697219,12.354722,Africa,Yes,Integrated,"""""Effects of hunter-gatherer subsistence mode on arterial distensibility in Camaroonian Pygmies"""" Lemogoum et.al. ",NA,NA,NA,24,5,144,10,80,18,Bantu
BAN3,BAN7-A,Ashley,Bantu,M/F,,,,38,618,Bantu,Ashley,BAN7,Bantu,Bantu,,,,eastern shore of Lake Nyasa,Savanna,Tanzania,-6.369,34.8888,Africa,Nomadic,Unacculturated,"""""Blood pressure and atherogenic lipoprotein profiles of fish-diet and vegetarian villagers in Tanzania: the Lugalawa study"""" Pauletto et. al.",NA,NA,NA,32.8695,12.3744,NA,NA,80.5987,38.9708,Bantu
BAN3,TAN1-B,AYANA,Bantu,M/F,30,30-60,,NA,371,Bantu,"AYANA, Ashley",,,Bantu,Explicitly named in paper for comparison to Masai,,Rural,"Ilala District, Handeni Dristrict ",Tropical Rainforest,Tanzania,-6.82745,39.25898,Africa,Yes,Semi-acculturated,"""""Daily energy expidenture and cardiovascular risk in Masai, rural and urban Bantu Tanzanians"""" Mbalilaki et.al.",139.212,41.3769,NA,35.1897,12.7611,78.5001,34.4163,128.4265,59.3419,Bantu
BAN3,TAN1-C,AYANA,Bantu,M/F,30,30-60,,NA,484,Bantu,"AYANA, Ashley",,,Bantu,Explicitly named in paper for comparison to Masai,,Urban,Dar-Es-Salaam,Tropical Rainforest,Tanzania,-6.81492,39.28841,Africa,Yes,Integrated,"""""Daily energy expidenture and cardiovascular risk in Masai, rural and urban Bantu Tanzanians"""" Mbalilaki et.al.",174.015,40.6035,NA,41.7636,12.7611,104.0223,36.3498,142.5977,100.0841,Bantu
BGD1,BGD1-A,EM,Bangladeshi,M/F,20,,,37.72,1060,Bangladeshi,EM,BGD1,Bangladeshi,Bangladeshi,,,Normal Fasting Glucose,Mymensing District,Tropical Rainforest,Bangladesh,24.63,90.27,Asia,NA,Unacculturated,"""""Diabetes and Impaired Fasting Glycemia in a Rural Population of Bangladesh"""" Sayeed et. al",162.51,65.11,NA,39.47,13.8,NA,NA,166.59,94.99,Bangladeshi
BGD1,BGD1-B,EM,Bangladeshi,M/F,20,,,41.49,499,Bangladeshi,EM,BGD1,Bangladeshi,Bangladeshi,,,Abnormal Fasting Glucose,Mymensing District,Tropical Rainforest,Bangladesh,24.63,90.27,Asia,NA,Unacculturated,"""""Diabetes and Impaired Fasting Glycemia in a Rural Population of Bangladesh"""" Sayeed et. al",156.36,52.85,NA,41.14,14.4,NA,NA,161.46,84.05,Bangladeshi
BOT1,BOT1,BENJA,Botswana Urban men,Men,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,NA,Urban,https://journals.co.za/doi/epdf/10.10520/EJC68653,192.9633,NA,NA,49.1109,NA,121.4238,NA,161.1974,NA,South_African
BOT1,BOT1,BENJA,Botswana Urban women,Women,NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,NA,Urban,https://journals.co.za/doi/epdf/10.10520/EJC68653,184.4559,NA,NA,49.1109,NA,136.8918,NA,170.0544,NA,South_African
BRA2_A,BRA2-A,Emily,Tupinikin,M/F,20,20-94,94,37.5,496,Tupinikin,Emily,BRA2-A,Tupinikin,Tupinikin,,,,Espirito Santo State,tropical rainforest,Brazil,-19.753768,-40.490962,South America,NA,Integrated,Age-dependent increase in blood pressure in two different Native American communities in Brazil,166,43,NA,50,15,95,37,108,80,SA_Indegenous
BRA2_B,BRA2-B,Emily,Guarani,M/F,20,20-81,81,36.3,60,Guarani,Emily,BRA2-B,Guarani,Guarani,,,,Espirito Santo State,tropical rainforest,Brazil,-19.753768,-40.490962,South America,NA,Semi-acculturated,Age-dependent increase in blood pressure in two different Native American communities in Brazil,147,43,NA,41,10,83,35,119,79,SA_Indegenous
BRA7,BRA7,Ashley,Brazilian,M,,,,48,11,Brazilian,Ashley,BRA7,,"Brazilian: Fulni-ô people, Truká people, and an urban control population from the city of Juazeiro, Bahia, Brazil",,,,"São Francisco Valley, Northeast Brazil",Tropical rainforest,Northeast Brazil,-10.0626,-42.551,South America,NA,Semi-acculturated,"""""Echocardiography and Analysis of Subclinical Cardiovascular Diseases in Indigenous People Living in Different Degrees of Urbanization: Project of Atherosclerosis Among Indigenous Populations"""" Patriota, et. al.",NA,NA,NA,35.6,11.3,92.2,NA,363.4,NA,NA
BRA7,BRA7,Ashley,Brazilian,F,,,,49,44,Brazilian,Ashley,BRA7,,"Brazilian: Fulni-ô people, Truká people, and an urban control population from the city of Juazeiro, Bahia, Brazil",,,,"São Francisco Valley, Northeast Brazil",Tropical rainforest,Northeast Brazil,-10.0626,-42.551,South America,NA,Semi-acculturated,"""""Echocardiography and Analysis of Subclinical Cardiovascular Diseases in Indigenous People Living in Different Degrees of Urbanization: Project of Atherosclerosis Among Indigenous Populations"""" Patriota, et. al.",NA,NA,NA,50.8,12.6,123.9,NA,217.8,NA,NA
BUR2,BUR2,Victoria,Buryat,M,35,35-44,44,NA,,Buryat,Victoria,SIB1,Buryat,Buryat,,,,the meadow-steppe region around Lake Baikal at the boundary of the northern forest,Taiga,,52,107,Siberia,NA,Semi-acculturated,,143,NA,NA,36,NA,88,NA,94,NA,Mongolic
BUR2,BUR2,Victoria,Buryat,M,18,18-34,34,NA,,Buryat,Victoria,SIB1,Buryat,Buryat,,,,the meadow-steppe region around Lake Baikal at the boundary of the northern forest,Taiga,,52,107,Siberia,NA,Semi-acculturated,,126,NA,NA,37,NA,71,NA,93,NA,Mongolic
BUR2,BUR2,Victoria,Buryat,M,45,45-54,54,NA,,Buryat,Victoria,SIB1,Buryat,Buryat,,,,the meadow-steppe region around Lake Baikal at the boundary of the northern forest,Taiga,,52,107,Siberia,NA,Semi-acculturated,,169,NA,NA,40,NA,104,NA,123,NA,Mongolic
BUR2,BUR2,Victoria,Buryat,M,55,55-64,64,NA,,Buryat,Victoria,SIB1,Buryat,Buryat,,,,the meadow-steppe region around Lake Baikal at the boundary of the northern forest,Taiga,,52,107,Siberia,NA,Semi-acculturated,,135,NA,NA,45,NA,79,NA,54,NA,Mongolic
CAN2-A,CAN2-A,Emily,Oji-Cree Indians,M/F,18,18+,,36.6,1180,Oji-Cree Indians,Emily,CAN2,Oji-Cree Indians,Oji-Cree Indians,,,,Canada,tundra,Canada,56.69043,-93.208866,North America,NA,Semi-acculturated,Characteristics and prevalence of the metabolic syndrome among three ethnic groups in Canada,NA,NA,NA,48.3375,12.3744,NA,NA,115.141,NA,NA
Canada: Chinese,Canada: Chinese,BENJA,Canada: Chinese,Overall,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,NA,Overall,,182.13,81,NA,46.02,11.6,121.42,30.9,157.975,115.375,other
Canada: Europeans,Canada: Europeans,BENJA,Canada: Europeans,Overall,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,NA,Overall,,183.3,81,NA,46.02,11.6,122.58,30.936,145.55,115.375,other
Canada: South Asians,Canada: South Asians,BENJA,Canada: South Asians,Overall,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,NA,Overall,https://doi.org/10.1016/S0140-6736(00)02502-2,209.98,81.2,NA,40.22,11.6,127.6,34.8,173.95,115.375,other
CANHR,CANHR,BENJA,Inuits CANHR Female,Women,NA,NA,NA,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distinct,NA,Overall,,220.9,45,NA,65.1,18.3,139.2,36.9,82.7,40.1,Circumpolar
CANHR,CANHR,BENJA,Inuits CANHR Males,Men,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distinct,NA,Overall,,219,47.7,NA,58.1,16.5,143.7,40.3,84.4,48.4,Circumpolar
CANHR_a,CANHR_a,BENJA,Inuits CANHR Overall,Overall,NA,NA,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distinct,NA,Overall,10.1038/oby.2007.302,220,46.2,NA,61.9,17.8,141.3,38.5,84.4,48.4,Circumpolar
CGO,China Guangzhou Occupational,BENJA,China Guangzhou Occupational,Overall,NA,NA,NA,NA,9106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asia Pacific region,NA,Overall,https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.111.028373,201.084,38.67,NA,50.271,19.335,127.611,42.537,124.25,62.125,Chinese
