"StudyID","Who","Population","Sex","HDL_Chol","SerumLevel","Age_LL","Age","Age_UL","Mean_Age","SD","N","N_Assumed","SL_SD","SL_SE","SL_Units","HDL_SD","HDL_Units","NonHDL_C","NonH_Units","LDL_Chol","LDL_SD","LDL_Units","Hypercholesterolemia_Prev","Triglyceride_Chol","Triglyceride_SD","Triglyceride_Units","Apo_A1","AA_Units","ApoB","ApoB_SD","AB_Units","Lp_a","Lpa_Units","Population_pop","Who_pop","Article_link","CrudeName","EthnicGroup","EthnicGroup_Notes","Subpopulation","Other_Classification","Location","Biome","Country","Lattitude","Longitude","Region","Sedentary","AcculturationLevel","ReferenceSource","SerumLevel_mg_dL","SL_SD_mg_dL","SL_SE_mg_dL","HDL_Chol_mg_dL","HDL_SD_mg_dL","LDL_Chol_mg_dL","LDL_SD_mg_dL","Triglyceride_Chol_mg_dL","Triglyceride_SD_mg_dL","Ancestry","Heritability","ANCESTRY","study_ID_Ancestry"
"AIN4-A","EM","Arizona American Indians","M",43.7,176.6,"45","45-74","74","54.9","7.8","546","N",42.5,NA,"mg/dL",14.3,"mg/dL",NA,"",101.8,32,"mg/dL",NA,125.2,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in Arizona","EM","AIN4","American Indian","Pima/Maricopa/Papago","","","","Gila River, Salt River, Ak-Chin Indian communities","Warm-temperate desert","United States of America","33.2","-112","North America",NA,"Semi-acculturated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",176.6,42.5,NA,43.7,14.3,101.8,32,125.2,NA,NA,NA,"American_Indian","AIN4-A"
"AIN4-A","EM","Arizona American Indians","F",45.4,181.2,"45","45-74","74","56.2","7.9","954","N",41.5,NA,"mg/dL",11.3,"mg/dL",NA,"",104.7,32.3,"mg/dL",NA,130.3,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in Arizona","EM","AIN4","American Indian","Pima/Maricopa/Papago","","","","Gila River, Salt River, Ak-Chin Indian communities","Warm-temperate desert","United States of America","33.2","-112","North America",NA,"Semi-acculturated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",181.2,41.5,NA,45.4,11.3,104.7,32.3,130.3,NA,NA,NA,"American_Indian","AIN4-A"
"AIN4-B","EM","Oklahoma American Indians","F",49.4,195.7,"45","45-74","74","57.2","8.2","885","N",36.9,NA,"mg/dL",13.6,"mg/dL",NA,"",115,31.8,"mg/dL",NA,125.2,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in Oklahoma","EM","AIN4","American Indian","Apache/Caddo/Comanche/Delaware/Fort Sill Apache/Kiowa/Wichita","","","","Southwestern Oklahoma","Grassland","United States of America","34.89","-98.36","North America",NA,"Integrated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",195.7,36.9,NA,49.4,13.6,115,31.8,125.2,NA,NA,NA,"American_Indian","AIN4-B"
"AIN4-B","EM","Oklahoma American Indians","M",41.6,192.8,"45","45-74","74","56.3","8.4","642","N",35.4,NA,"mg/dL",11.9,"mg/dL",NA,"",119.6,32.5,"mg/dL",NA,126.5,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in Oklahoma","EM","AIN4","American Indian","Apache/Caddo/Comanche/Delaware/Fort Sill Apache/Kiowa/Wichita","","","","Southwestern Oklahoma","Grassland","United States of America","34.89","-98.36","North America",NA,"Integrated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",192.8,35.4,NA,41.6,11.9,119.6,32.5,126.5,NA,NA,NA,"American_Indian","AIN4-B"
"AIN4-C","EM","SD/ND American Indians","F",48.5,201.7,"45","45-74","74","56.6","8.2","864","N",39.7,NA,"mg/dL",14.1,"mg/dL",NA,"",120.3,33.5,"mg/dL",NA,122.7,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in North/South Dakota","EM","AIN4","American Indian","Oglala/Cheyenne River Sioux/Devil's Lake Sioux","","","","South Dakota; Fort Totten area of North Dakota","Grassland","United States of America","46","-99","North America",NA,"Semi-acculturated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",201.7,39.7,NA,48.5,14.1,120.3,33.5,122.7,NA,NA,NA,"American_Indian","AIN4-C"
"AIN4-C","EM","SD/ND American Indians","M",43.8,198.7,"45","45-74","74","56.2","7.9","658","N",43,NA,"mg/dL",14.2,"mg/dL",NA,"",121.8,32.6,"mg/dL",NA,113.3,NA,"mg/dL",NA,"",NA,"","",NA,"","American Indians in North/South Dakota","EM","AIN4","American Indian","Oglala/Cheyenne River Sioux/Devil's Lake Sioux","","","","South Dakota; Fort Totten area of North Dakota","Grassland","United States of America","46","-99","North America",NA,"Semi-acculturated","""""Cardiovascular Disease Risk Factors among American Indians: The Strong Heart Study"""" Welty et. al",198.7,43,NA,43.8,14.2,121.8,32.6,113.3,NA,NA,NA,"American_Indian","AIN4-C"
"ALA1-A","Victoria","Alaskan Native","M/F",60.3,207.5,"18","18+","","39.1","16.1","2650","N",44.1,NA,"mg/dL",17.8,"mg/dL",NA,"",128.2,38.5,"mg/dL",NA,95.1,61,"mg/dL",NA,"",NA,"","",NA,"","Alaskan Native","Victoria","ALA1-A","Alaskan Native","Alaskan Native","","","Alaskan Native community of the Yukon-Kuskokwim region","western Alaska","Arctic Tundra","Alaska","63.433318","-166.552734","North America","Yes","Integrated","",207.5,44.1,NA,60.3,17.8,128.2,38.5,95.1,61,NA,NA,"Circumpolar","ALA1"
"ALA1-B","Victoria","Alaskan Native","M/F",58.2,206.9,"18","18+","","43.1","16.2","1919","N",42.9,NA,"mg/dL",17.9,"mg/dL",NA,"",126.8,41.6,"mg/dL",NA,111.7,83.5,"mg/dL",NA,"",NA,"","",NA,"","Alaskan Native","Victoria","ALA1-B","Alaskan Native","Alaskan Native","","","Alaskan Native community of the Norton Sound region","western Alaska","Arctic Tundra","Alaska","63.8428","-164.268","North America","Yes","Integrated","",206.9,42.9,NA,58.2,17.9,126.8,41.6,111.7,83.5,NA,NA,"Circumpolar","ALA1"
"AMER3-A","Emily","Peruvian Amerindian (1999)","F",1.024,NA,"20","20-59","59","41","19","73","N",NA,NA,"",0.23,"mmol/L",NA,"",NA,NA,"",NA,1.46,0.8,"mmol/L",NA,"",NA,"","",NA,"","Peruvian Amerindian","Emily","AMER3-A","Peruvian Amerindian","Peruvian Amerindian","","","data collected from 1999 survey","Lima, Peru","","Peru","","","South America",NA,"Integrated","Serum cholestryl fatty acid composition and plasma glucose concentrations in Amerindian women",NA,NA,NA,39.59808,8.8941,NA,NA,129.3122,70.856,NA,NA,NA,NA
"AMO1","AYANA","Amondava","M/F",NA,129,"15","15-58","","25.3","11.4","30","N",13.7,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Amondava","AYANA, ASHLEY","AMO1","Amondava","Amondawa","Other names referenced: Ponapeans, urban bantu,yanomamo, xavante, yi, etc. but all just used as marers for comparison for scioeconomic status.No further classification identified. More widely referred to as Amondawa. They may alsoo be referred to as """"""""Amondauas, Bocas-negras, Bocas-pretas, Cabeça-vermelha, Cautários, Sotérios, Urupain,[1] as well as Jupaú, Black-Mouths, Red-Heads, Urueu-Wau-Wau' ","","","Uru-Eu-Wau-Wau; Porto Velho","Tropical Rainforest","Brazil","-8.76194","-63.9038887","South America","Yes","Unacculturated","""""Effects of a traditional lifestyle on the cardiovascular risk profile: the Amondava population of the Brazilian Amazon. Comparison with matched African, Italian and Polish populations"""" Pavan et.al. ",129,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA_Indegenous","AMO1"
"AUA1-A","FION","Austrailian Aborginies (ACR1)","M/F",NA,NA,"18","18+","",NA,NA,"102","Y",NA,NA,"",NA,"",NA,"",3.2,NA,", mmol/L",NA,NA,NA,"mmol/L, ",NA,"",NA,"","",NA,"","Northern Aranda","FION","AUA1","Australian Aboriginals","Australian Aborigines","References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ","Australian Aborigines","(Albumin/Creatine Ratio 1 Group)","Northern Territory Aboriginal Island","Savanna","Australia","-25.2744","133.7751","Austrailia","Yes","Semi-acculturated","Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",NA,NA,NA,NA,NA,123.744,NA,NA,NA,NA,NA,NA,NA
"AUA1-B","FION","Austrailian Aborginies (ACR2)","M/F",NA,NA,"18","18+","",NA,NA,"102","Y",NA,NA,"",NA,"",NA,"",3.6,NA,", mmol/L",NA,NA,NA,"mmol/L, ",NA,"",NA,"","",NA,"","Northern Aranda","FION","AUA1","Australian Aboriginals","Australian Aborigines","References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ","Australian Aborigines","(Albumin/Creatine Ratio 2 Group)","Northern Territory Aboriginal Island","Savanna","Australia","-25.2744","133.7751","Austrailia","Yes","Semi-acculturated","Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",NA,NA,NA,NA,NA,139.212,NA,NA,NA,NA,NA,NA,NA
"AUA1-C","FION","Austrailian Aborginies (ACR3)","M/F",NA,NA,"18","18+","",NA,NA,"102","Y",NA,NA,"",NA,"",NA,"",3.6,NA,", mmol/L",NA,NA,NA,"mmol/L, ",NA,"",NA,"","",NA,"","Northern Aranda","FION","AUA1","","Australian Aborigines","References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ","Australian Aborigines","(Albumin/Creatine Ratio 3 Group)","Northern Territory Aboriginal Island","Savanna","Australia","-25.2744","133.7751","Austrailia","Yes","Semi-acculturated","Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",NA,NA,NA,NA,NA,139.212,NA,NA,NA,NA,NA,NA,NA
"AUA1-D","FION","Austrailian Aborginies (ACR4)","M/F",NA,NA,"18","18+","",NA,NA,"102","Y",NA,NA,"",NA,"",NA,"",4.3,NA,", mmol/L",NA,NA,NA,"mmol/L, ",NA,"",NA,"","",NA,"","Northern Aranda","FION","AUA1","Australian Aboriginals","Australian Aborigines","References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ","Australian Aborigines","(Albumin/Creatine Ratio 4 Group)","Northern Territory Aboriginal Island","Savanna","Australia","-25.2744","133.7751","Austrailia","Yes","Semi-acculturated","Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",NA,NA,NA,NA,NA,166.281,NA,NA,NA,NA,NA,NA,NA
"AUA15","Emily","Tiwi","M/F",1.2,4.7,"15","15+","","33",NA,"1187","N",NA,NA,"mmol/L",NA,"mmol/L",NA,"",2.55,NA,"mmol/L",NA,1.5,NA,"mmol/L",NA,"",NA,"","",NA,"","Indigenous Australians","Emily","AUA15","Tiwi","Tiwi","","","","Tiwi Islands Bathurst and Melville",", woodland","Australia","-11.707897","130.820859","Australia",NA,NA,"The independent associations of HbA1c, C-reactive protein and birth weight with cardiovascular disease, diabetes mellitus and chronic kidney disease
in a remote Indigenous Australian community:
A prospective cohort study",181.749,NA,NA,46.404,NA,98.6085,NA,132.855,NA,NA,NA,"Australian_Aboriginal","AUA15"
"AUA16","Ashley","Australian Aboriginal","F",NA,NA,"20, 25, 35, 45, 55, 65","20-24, 25-34, 35-44, 45-54, 55-64, 65+","24, 34, 44, 54, 64, ",NA,NA,"35, 42, 28, 21, 11, 7","N",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","Ashley","AUA16","","Australian Aborigines","","","","Bourke and Enngonia, New South Wales","Savanna","Australia","-31.2532","146.9211","Oceania",NA,"Integrated","""""Diabetes mellitus in the Australian Aborigines of Bourke, New South Wales"""" Cameron, et. al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUA16","Ashley","Australian Aboriginal","M",NA,NA,"20, 25, 35, 45, 55, 65","20-24, 25-34, 35-44, 45-54, 55-64, 65+","24, 34, 44, 54, 64, ",NA,NA,"38, 46, 33, 16, 13, 4","N",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","Ashley","AUA16","","Australian Aborigines","","","","Bourke and Enngonia, New South Wales","Savanna","Australia","-31.2532","146.9211","Oceania",NA,"Integrated","""""Diabetes mellitus in the Australian Aborigines of Bourke, New South Wales"""" Cameron, et. al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUA2","AYANA","Australian Aborigines","M/F",NA,5.93,"18","18+","",NA,NA,"68","N",NA,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Australian Aborigines","AYANA, ASHLEY","AUA2","Australian Aboriginals","Australian Aborigines","References do not include any additional population names-- only classified as australian aborigines. Based on yarmir v. australia there are 4 populations there. Not sure which to classiy as. Described in the amended Native Title Determination Application as the
Mandilarri-Ildugij, Mangalarra, Muran, Gadurra, Minaga, Ngayndjagar and
Mayorram peoples under the wider classification of australian aborigines","","","Minjilang; Croker Island","Savanna","Australia","-11.14879","132.58001","Australia","Yes","Semi-acculturated","M. Orr, et al. """"A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"""" ",229.3131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA2","AYANA","Australian Aborigines","M/F",NA,1.13,"18","18+","",NA,NA,"67","N",NA,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.81,0.17,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","AYANA, ASHLEY","AUA2","Australian Aboriginals","Australian Aborigines","References do not include any additional population names-- only classified as australian aborigines. Based on yarmir v. australia there are 4 populations there. Not sure which to classiy as. Described in the amended Native Title Determination Application as the
Mandilarri-Ildugij, Mangalarra, Muran, Gadurra, Minaga, Ngayndjagar and
Mayorram peoples under the wider classification of australian aborigines","","","Minjilang; Croker Island","Savanna","Australia","-11.14879","132.58001","Australia","Yes","Semi-acculturated","M. Orr, et al. """"A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"""" ",43.6971,NA,NA,NA,NA,NA,NA,160.3117,15.0569,NA,NA,"Australian_Aboriginal","AUA2"
"AUA2","AYANA","Australian Aborigines","M/F",NA,NA,"18","18+","",NA,NA,"50","N",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Australian Aborigines","AYANA, ASHLEY","AUA2","Australian Aboriginals","Australian Aborigines","References do not include any additional population names-- only classified as australian aborigines. Based on yarmir v. australia there are 4 populations there. Not sure which to classiy as. Described in the amended Native Title Determination Application as the
Mandilarri-Ildugij, Mangalarra, Muran, Gadurra, Minaga, Ngayndjagar and
Mayorram peoples under the wider classification of australian aborigines","","","Minjilang; Croker Island","Savanna","Australia","-11.14879","132.58001","Australia","Yes","Semi-acculturated","M. Orr, et al. """"A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"""" ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA4","EM","Australian Aborigines","F",1.18,5.2,"35","","",NA,NA,"325","N",0.93,NA,"mmol/L",0.34,"mmol/L",NA,"",3.2,0.82,"mmol/L",NA,1.63,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA4","Australian Aborigines","Australian Aborigines","Includes Australian Aborigines and Torres Strait Islander populations","","","Yilli Rreung Aboriginal and Torres Strait Islander Commission Region","Savanna","Australia","-12.44","130.84","Australia",NA,"Semi-acculturated","""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",201.084,35.9631,NA,45.6306,13.1478,123.744,31.7094,144.3691,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA4","EM","Australian Aborigines","M",1.11,4.98,"15","15-34","34",NA,NA,"130","N",1.17,NA,"mmol/L",0.3,"mmol/L",NA,"",3.13,0.98,"mmol/L",NA,1.41,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA4","Australian Aborigines","Australian Aborigines","Includes Australian Aborigines and Torres Strait Islander populations","","","Yilli Rreung Aboriginal and Torres Strait Islander Commission Region","Savanna","Australia","-12.44","130.84","Australia",NA,"Semi-acculturated","""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",192.5766,45.2439,NA,42.9237,11.601,121.0371,37.8966,124.8837,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA4","EM","Australian Aborigines","M",1.01,5.35,"35","","",NA,NA,"142","N",1.33,NA,"mmol/L",0.29,"mmol/L",NA,"",3.18,1.03,"mmol/L",NA,2.18,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA4","Australian Aborigines","Australian Aborigines","Includes Australian Aborigines and Torres Strait Islander populations","","","Yilli Rreung Aboriginal and Torres Strait Islander Commission Region","Savanna","Australia","-12.44","130.84","Australia",NA,"Semi-acculturated","""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",206.8845,51.4311,NA,39.0567,11.2143,122.9706,39.8301,193.0826,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA4","EM","Australian Aborigines","F",1.19,4.62,"15","15-35","34",NA,NA,"264","N",0.91,NA,"mmol/L",0.33,"mmol/L",NA,"",2.85,0.83,"mmol/L",NA,1.15,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA4","Australian Aborigines","Australian Aborigines","Includes Australian Aborigines and Torres Strait Islander populations","","","Yilli Rreung Aboriginal and Torres Strait Islander Commission Region","Savanna","Australia","-12.44","130.84","Australia",NA,"Semi-acculturated","""""Diabetes and cardiovascular risk factors in urban Indigenous adults: Results from the DRUID study"""" O'dea et. al",178.6554,35.1897,NA,46.0173,12.7611,110.2095,32.0961,101.8555,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA7-A","EM","Australian Aborigines","M/F",NA,5.65,"","","","53.9",NA,"10","N",NA,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,4.02,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA7","Australian Aborigines","Australian Aborigines","","Diabetic","","Mowanjum Community, Derby","Temperate Shrubland","Australia","-15.96","125.05","Australia",NA,"Unacculturated","""""Marked Improvement in Carbohydrate and Lipid Metabolism in Diabetic Australian Aborigines After Temporary Reversion to Traditional Lifestyle"""" O'Dea et. al",218.4855,NA,NA,NA,NA,NA,NA,356.0514,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA7-B","EM","Australian Aborigines","M/F",NA,4.11,"","","","52.3",NA,"4","N",NA,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,1.57,NA,"mmol/L",NA,"",NA,"","",NA,"","Australian Aborigines","EM","AUA7","Australian Aborigines","Australian Aborigines","","Non-Diabetic","","Mowanjum Community, Derby","Temperate Shrubland","Australia","-15.96","125.05","Australia",NA,"Unacculturated","""""Marked Improvement in Carbohydrate and Lipid Metabolism in Diabetic Australian Aborigines After Temporary Reversion to Traditional Lifestyle"""" O'Dea et. al",158.9337,NA,NA,NA,NA,NA,NA,139.0549,NA,NA,NA,"Australian_Aboriginal","AUA2"
"AUA8-A","Emily","Australian Aborinigals","M",0.83,5.9,"35",">35","",NA,NA,"86","N",NA,NA,"mmol/L",NA,"mmol/l",NA,"",3.4,NA,"mmol/l",NA,2.9,NA,"mmol/l",NA,"",NA,"","",NA,"","Australian Aboriginal","Emily","AUA8","Australian Aboriginal","Australian Aboriginal","","","data collected in 1988","central Australia","tropical desert","Australia","-23.720061","133.841166","Oceania",NA,"Unacculturated","Reduced Prevalence of Impaired Glucose Tolerance and No Change in Prevalence of Diabetes Despite Increasing BMI Among Aboriginal People from a Group of Remote Homeland Communities",228.153,NA,NA,32.0961,NA,131.478,NA,256.853,NA,NA,NA,"Australian_Aboriginal","AUA8-A"
