Who,StudyID,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,SD,N,N_Assumed ,SerumLevel,SL_SD,SL_SE,SL_Units,HDL_Chol,HDL_SD,HDL_Units,NonHDL_C,NonH_Units,LDL_Chol,LDL_SD,LDL_Units,Hypercholesterolemia_Prev,Triglyceride_Chol,Triglyceride_SD,Triglyceride_Units,Apo_A1,AA_Units,ApoB,ApoB_SD,AB_Units,Lp_a,Lpa_Units,,,
Emily,AIN3-B,American Indians in Oklahoma,M,45,45-74,74,56,8,642,N,4.99,0.91,,mmol/L,,,,,,,,,,1.7,1.41,mmol/L,,,,,,,,,,
Emily,AIN3-C,American Indians in North/South Dakota,F,45,45-74,74,57,8,864,N,5.22,1.03,,mmol/L,,,,,,,,,,1.68,1.46,mmol/L,,,,,,,,,,
Emily,AIN3-C,American Indians in North/South Dakota,M,45,45-74,74,56,8,658,N,5.15,1.11,,mmol/L,,,,,,,,,,1.68,2.62,mmol/L,,,,,,,,,,
EM,AIN4-A,Arizona American Indians,F,45,45-74,74,56.2,7.9,954,N,181.2,41.5,,mg/dL,45.4,11.3,mg/dL,,,104.7,32.3,mg/dL,,130.3,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
EM,AIN4-A ,Arizona American Indians,M,45,45-74,74,54.9,7.8,546,N,176.6,42.5,,mg/dL,43.7,14.3,mg/dL,,,101.8,32,mg/dL,,125.2,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
EM,AIN4-B,Oklahoma American Indians,M,45,45-74,74,56.3,8.4,642,N,192.8,35.4,,mg/dL,41.6,11.9,mg/dL,,,119.6,32.5,mg/dL,,126.5,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
EM,AIN4-B,Oklahoma American Indians,F,45,45-74,74,57.2,8.2,885,N,195.7,36.9,,mg/dL,49.4,13.6,mg/dL,,,115,31.8,mg/dL,,125.2,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
EM,AIN4-C,SD/ND American Indians,M,45,45-74,74,56.2,7.9,658,N,198.7,43,,mg/dL,43.8,14.2,mg/dL,,,121.8,32.6,mg/dL,,113.3,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
EM,AIN4-C,SD/ND American Indians,F,45,45-74,74,56.6,8.2,864,N,201.7,39.7,,mg/dL,48.5,14.1,mg/dL,,,120.3,33.5,mg/dL,,122.7,,mg/dL,,,,,,,,"Hitachi chemistry analyzer, reagents from Boehringer Mannheim Diagnostics",,
Victoria,ALA1-A,Alaskan Native,M/F,18,18+,,39.1,16.1,2650,N,207.5,44.1,,mg/dL,60.3,17.8,mg/dL,,,128.2,38.5,mg/dL,,95.1,61,mg/dL,,,,,,,,,,
Victoria,ALA1-B,Alaskan Native,M/F,18,18+,,43.1,16.2,1919,N,206.9,42.9,,mg/dL,58.2,17.9,mg/dL,,,126.8,41.6,mg/dL,,111.7,83.5,mg/dL,,,,,,,,,,
Emily,AMER3-A,Peruvian Amerindian (1999),F,20,20-59,59,41,19,73,N,,,,,1.024,0.23,mmol/L,,,,,,,1.46,0.8,mmol/L,,,,,,,,,,
AYANA,AMO1,Amondava,M/F,15,15-58,,25.3,11.4,30,N,129,13.7,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,AUA1-A,Austrailian Aborginies (ACR1),M/F,18,18+,,,,102,Y,,,,,,,,,,,,,,1.7,1,mmol/L,,,,,,,,Fasting triglycerides,,
FION,AUA1-A,Austrailian Aborginies (ACR1),M/F,18,18+,,,,102,Y,,,,,,,,,,3.2,0.9,mmol/L,,,,,,,,,,,,Fasting LDL,,
FION,AUA1-B,Austrailian Aborginies (ACR2),M/F,18,18+,,,,102,Y,,,,,,,,,,,,,,1.8,1.4,mmol/L,,,,,,,,Fasting triglycerides,,
FION,AUA1-B,Austrailian Aborginies (ACR2),M/F,18,18+,,,,102,Y,,,,,,,,,,3.6,1.2,mmol/L,,,,,,,,,,,,Fasting LDL,,
FION,AUA1-C,Austrailian Aborginies (ACR3),M/F,18,18+,,,,102,Y,,,,,,,,,,,,,,2.1,1.4,mmol/L,,,,,,,,Fasting triglycerides,,
FION,AUA1-C,Austrailian Aborginies (ACR3),M/F,18,18+,,,,102,Y,,,,,,,,,,3.6,1.1,mmol/L,,,,,,,,,,,,Fasting LDL,,
FION,AUA1-D,Austrailian Aborginies (ACR4),M/F,18,18+,,,,102,Y,,,,,,,,,,,,,,3.2,3.3,mmol/L,,,,,,,,Fasting triglycerides,,
FION,AUA1-D,Austrailian Aborginies (ACR4),M/F,18,18+,,,,102,Y,,,,,,,,,,4.3,1.3,mmol/L,,,,,,,,,,,,Fasting LDL,,
Emily,AUA15,Tiwi,M/F,15,15+,,33,,1187,N,4.7,,,mmol/L,1.2,,mmol/L,,,2.55,,mmol/L,,1.5,,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,20,20-24,24,,,38,N,,,,,,,,,,,,,,3.4,0.4,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,20,20-24,24,,,35,N,,,,,,,,,,,,,,1.6,0.1,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,25,25-34,34,,,46,N,,,,,,,,,,,,,,3.7,0.3,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,25,25-34,34,,,42,N,,,,,,,,,,,,,,2.6,0.2,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,35,35-44,44,,,33,N,,,,,,,,,,,,,,3.5,0.4,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,35,35-44,44,,,28,N,,,,,,,,,,,,,,2.2,0.2,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,45,45-54,54,,,16,N,,,,,,,,,,,,,,4.1,1.3,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,45,45-54,54,,,21,N,,,,,,,,,,,,,,3.1,0.3,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,55,55-64,64,,,13,N,,,,,,,,,,,,,,3,0.6,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,55,55-64,64,,,11,N,,,,,,,,,,,,,,3.3,0.3,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,M,65,65+,,,,4,N,,,,,,,,,,,,,,2.9,1,mmol/L,,,,,,,,,,
Ashley,AUA16,Australian Aboriginal,F,65,65+,,,,7,N,,,,,,,,,,,,,,2.4,0.3,mmol/L,,,,,,,,,,
AYANA,AUA2,Australian Aborigines,M/F,18,18+,,,,50,N,,,,,,,,,,,,,,,,,,,,,,,,,,
AYANA,AUA2,Australian Aborigines,M/F,18,18+,,,,68,N,5.93,,,mmol/L,,,,,,,,,,,,,,,,,,,,,,
AYANA,AUA2,Australian Aborigines,M/F,18,18+,,,,67,N,1.13,,,mmol/L,,,,,,,,,,1.81,0.17,mmol/L,,,,,,,,,,
EM,AUA4,Australian Aborigines,M,35,,,,,142,N,5.35,1.33,,mmol/L,1.01,0.29,mmol/L,,,3.18,1.03,mmol/L,,2.18,,mmol/L,,,,,,,,,,
EM,AUA4,Australian Aborigines,M,15,15-34,34,,,130,N,4.98,1.17,,mmol/L,1.11,0.3,mmol/L,,,3.13,0.98,mmol/L,,1.41,,mmol/L,,,,,,,,,,
EM,AUA4,Australian Aborigines,F,35,,,,,325,N,5.2,0.93,,mmol/L,1.18,0.34,mmol/L,,,3.2,0.82,mmol/L,,1.63,,mmol/L,,,,,,,,,,
EM,AUA4,Australian Aborigines,F,15,15-35,34,,,264,N,4.62,0.91,,mmol/L,1.19,0.33,mmol/L,,,2.85,0.83,mmol/L,,1.15,,mmol/L,,,,,,,,,,
EM,AUA7-A,Australian Aborigines,M/F,,,,53.9,,10,N,5.65,,,mmol/L,,,,,,,,,,4.02,,mmol/L,,,,,,,,,,
EM,AUA7-A,Australian Aborigines,M/F,,,,53.9,,10,N,5.65,,,mmol/L,,,,,,,,,,4.02,,mmol/L,,,,,,,,,,
EM,AUA7-B,Australian Aborigines,M/F,,,,52.3,,4,N,4.11,,,mmol/L,,,,,,,,,,1.57,,mmol/L,,,,,,,,,,
EM,AUA7-B,Australian Aborigines,M/F,,,,52.3,,4,N,4.11,,,mmol/L,,,,,,,,,,1.57,,mmol/L,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,M,15,15-24,24,,,60,N,5.2,,,mmol/L,0.79,,mmol/l,,,3.4,,mmol/l,,2,,mmol/l,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,M,35,>35,,,,86,N,5.9,,,mmol/L,0.83,,mmol/l,,,3.4,,mmol/l,,2.9,,mmol/l,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,M,25,25-34,34,,,43,N,6,,,mmol/L,0.89,,mmol/l,,,3.7,,mmol/l,,2.5,,mmol/l,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,F,35,>35,,,,108,N,5.7,,,mmol/L,0.94,,mmol/l,,,3.6,,mmol/l,,2.1,,mmol/l,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,F,25,25-34,34,,,64,N,5,,,mmol/L,0.95,,mmol/l,,,3.3,,mmol/l,,1.4,,mmol/l,,,,,,,,,,
Emily,AUA8-A,Australian Aborinigals,F,15,15-24,24,,,76,N,4.9,,,mmol/L,0.98,,mmol/l,,,3.2,,mmol/l,,1.3,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,M,35,>35,,,,79,N,5.8,,,mmol/L,0.77,,mmol/l,,,3.2,,mmol/l,,3.3,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,M,25,25-34,34,,,40,N,5.8,,,mmol/L,0.78,,mmol/l,,,3.7,,mmol/l,,2.4,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,M,15,15-24,24,,,65,N,5.1,,,mmol/L,0.79,,mmol/l,,,3.4,,mmol/l,,1.9,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,F,35,>35,,,,116,N,5.2,,,mmol/L,0.83,,mmol/l,,,3.2,,mmol/l,,2.2,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,F,25,25-34,34,,,58,N,4.8,,,mmol/L,0.86,,mmol/l,,,3.1,,mmol/l,,1.5,,mmol/l,,,,,,,,,,
Emily,AUA8-B,Australian Aborinigals,F,15,15-24,24,,,66,N,4.5,,,mmol/L,0.92,,mmol/l,,,3,,mmol/l,,1.3,,mmol/l,,,,,,,,,,
Phoebe,AUA9,Aboriginal Australian,F,20,20-74,74,35,13.5,321,N,4.3,1,,mmol/L,,,,,,,,,,,,,,,,,,,,,,
Phoebe,AUA9,Aboriginal Australian,M,20,20-74,74,30.8,10,365,N,4.8,1.1,,mmol/L,,,,,,,,,,,,,,,,,,,,,,
Claire,AUS2-A,New Guinea Laborers,M/F,16,16-31,31,24,,40,Y,167.4,35.7,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Gisele,AUS3,New Guinea Natives,M,13,13-40,40,25,,40,N,192.3,44.9,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Gisele,AUS4-A,Australians,M/F,15,15+,,53,10,99,N,5,,,mmol/L,0.96,,mmol/L,,,,,,,2.4,,mmol/L,,,,,,,,,,
Gisele,AUS4-B,Australians,M/F,15,15+,,47,10,36,N,5.3,,,mmol/L,0.94,,mmol/L,,,,,,,2.4,,mmol/L,,,,,,,,,,
KIKI,BAN1-A ,Bantu migrant workers,,25,25-50,,,,43,N,143,30,,mg/dL,,,,,,,,,,92,,mg/100 mL,,,,,,,,,,
KIKI,BAN1-B,Bantu medical students,,24,24-38,,,,14,N,197,24,,mg/dL,,,,,,,,,,95,,mg/100 mL,,,,,,,,,,
KIKI,BAN1-C,Bantu hospital workers,,35,35-55,,,,50,N,197,54,,mg/dL,,,,,,,,,,132,,mg/100 mL,,,,,,,,,,
KIKI,BAN1-D,Kung! Bushmen,,20,20-74,,,,14,N,130,25,,mg/dL,,,,,,,,,,95,,mg/100 mL,,,,,,,,,,
AYANA,BAN3 ,Bantu ,M/F,15,15-58,,25.3,11.4,30,N,129,24.1,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
AYANA,BAN4,Bantu,M/F,20,20+,,33,3,22,N,,,,,24,5,mg/dL,,,144,10,mg/dL,,80,18,mg/dL,,,,,,,,,,
ABIGAIL,BAN5,Bantu,M,20,20-60,60,,,57,N,75,20,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
ABIGAIL,BAN5,Bantu,M,20,<30,30,,,26,N,80,21,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
ABIGAIL,BAN5,Bantu,M,31,31-40,40,,,16,N,73,19,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
ABIGAIL,BAN5,Bantu,M,41,41-50,50,,,9,N,66,17,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
ABIGAIL,BAN5,Bantu,M,51,51-60,60,,,6,N,68,12,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Ashley,BAN7-A,Bantu,M/F,,,,38,14.2,618,N  ,,,,,0.85,0.32,mmol/L,,,,,,,0.91,0.44,mmol/L,,,,,,199,mg/L,,,
Ashley,BAN7-B,Banta,M/F,,,,46.6,13.1,645,N,,,,,0.98,0.29,mmol/L,,,,,,,1.33,0.74,mmol/L,,,,,,323,mg/L,,,
BENJA,BENJA,TURKANA_pastoralist,,,,,,,800,,151.99,33.6,,mg/dL,60.1,15.2,mg/dL,,,71.3,30.8,mg/dL,,,,,,,,,,,,,,
EM,BGD1-A,Bangladeshi,M/F,20,,,37.72,15,1060,N,162.51,65.11,,mg/dL,39.47,13.8,mg/dl,,,,,,,166.59,94.99,mg/dl,,,,,,,,,,
EM,BGD1-B,Bangladeshi,M/F,20,,,41.49,16.19,499,N,156.36,52.85,,mg/dL,41.14,14.4,mg/dl,,,,,,,161.46,84.05,mg/dl,,,,,,,,,,
Emily,BRA2-A,Tupinikin,M/F,20,20-94,94,37.5,15.4,496,N,166,43,,mg/dL,50,15,mg/dl,,,95,37,mg/dl,,108,80,mg/dl,,,,,,,,,,
Emily,BRA2-B,Guarani,M/F,20,20-81,81,36.3,12.4,60,N,147,43,,mg/dL,41,10,mg/dl,,,83,35,mg/dl,,119,79,mg/dl,,,,,,,,,,
Ashley,BRA7,Brazilian,M,,,,48,10.2,11,N,,,,,35.6,11.3,mg/dL,,,92.2,,mg/dL,,363.4,,mg/dL,,,,,,,,,,
Ashley,BRA7,Brazilian,F,,,,49,12.6,44,N,,,,,50.8,12.6,mg/dL,,,123.9,,mg/dL,,217.8,,mg/dL,,,,,,,,,,
Victoria,BUR2,Buryat,M,35,35-44,44,,,,,143,,,mg/dL,36,,mg/dL,,,88,,mg/dL,,94,,mg/dL,,,,,,,,,,
Victoria,BUR2,Buryat,M,18,18-34,34,,,,,126,,,mg/dL,37,,mg/dL,,,71,,mg/dL,,93,,mg/dL,,,,,,,,,,
Victoria,BUR2,Buryat,M,45,45-54,54,,,,,169,,,mg/dL,40,,mg/dL,,,104,,mg/dL,,123,,mg/dL,,,,,,,,,,
Victoria,BUR2,Buryat,M,55,55-64,64,,,,,135,,,mg/dL,45,,mg/dL,,,79,,mg/dL,,54,,mg/dL,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,0,0-10,10,9,,3,N,3.23,,0.64,mmol/L,,,,,,,,,,0.47,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,11,20-Nov,20,15,,14,N,4.03,,0.49,mmol/L,,,,,,,,,,0.66,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,21,21-30,30,25,,14,N,4.23,,0.49,mmol/L,,,,,,,,,,0.99,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,31,31-40,40,36,,24,N,4.54,,0.54,mmol/L,,,,,,,,,,0.93,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,41,41-50,50,46,,16,N,4.28,,0.49,mmol/L,,,,,,,,,,0.82,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,51,51-60,60,56,,16,N,4.38,,0.46,mmol/L,,,,,,,,,,0.98,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,61,61-70,70,68,,8,N,4.54,,0.56,mmol/L,,,,,,,,,,1.19,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,71,71-80,80,75,,8,N,5.31,,1.05,mmol/L,,,,,,,,,,1.08,,mmol/L,,,,,,,,,,
VEDHIKA,CAN1,Rural Chinese,M/F,81,81-90,90,88,,1,N,3.54,,,mmol/L,,,,,,,,,,0.93,,mmol/L,,,,,,,,,,
Emily,CAN2-A,Oji-Cree Indians,M/F,18,18+,,36.6,13.5,1180,N,,,,,1.25,0.32,mmol/L,,,,,,,1.3,,mmol/L,,,,,,,,,,
Emily,CAN2-B,Inuit,M/F,18,18+,,36.7,15.2,238,N,,,,,1.44,0.4,mmol/L,,,,,,,0.93,,mmol/L,,,,,,,,,,
Emily,CHIL2-A,Pehuenche,M/F,18,18-87,87,48.5,15.5,90,N,158.7,37.7,,mg/dL,43.9,11.1,mg/dL,,,,,,,216,116.6,mg/dL,,,,,,,,,,
Emily,CHIL2-B,Atacameños,M/F,18,18-87,87,54.2,18.1,100,N,166.8,35.7,,mg/dL,44.3,14.9,mg/dL,,,,,,,227.7,107.7,mg/dL,,,,,,,,,,
FION,CHIM1,Chimbu Natives,M,10,19-Oct,,,,13,N,124,12,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,M,20,20-29,,,,22,N,134,7,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,M,30,30-39,,,,10,N,107,9,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,M,40,40-49,,,,10,N,109,9,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,F,10,19-Oct,,,,7,N,120,12,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,F,20,20-29,,,,20,N,129,8,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,F,30,30-39,,,,10,N,119,13,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,F,40,40-49,,,,10,N,93,8,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,CHIM1,Chimbu Natives,F,50,50-59,,,,5,N,122,21,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Phoebe,CHIN1-A,Han,M,28,28-69,69,46.4,8.5,N/A,,195,38,,mg/dL,54,15,mg/dl,,,117,38,mg/dl,,126,102,mg/dl,,,,,,,,Serum triglycerides by ABA 200/Serum cholesterol by ABA 200 bio chromatic analyzer,,"Note: ""a large proportion of participants failed to fast or refused blood drawing, so sample sizes fro blood values were substantially smaller than for other measures"""
Phoebe,CHIN1-A,Han,F,28,28-70,69,45.3,7.9,N/A,,200,39,,mg/dL,58,14,mg/dl,,,117,38,mg/dl,,129,108,mg/dl,,,,,,,,Serum triglycerides by ABA 200/Serum cholesterol by ABA 200 bio chromatic analyzer,,"Note: ""a large proportion of participants failed to fast or refused blood drawing, so sample sizes fro blood values were substantially smaller than for other measures"""
Phoebe,CHIN1-B,Han,F,28,28-72,69,46,9.5,N/A,,171,34,,mg/dL,53,13,mg/dl,,,99,32,mg/dl,,100,74,mg/dl,,,,,,,,Serum triglycerides by ABA 200/Serum cholesterol by ABA 200 bio chromatic analyzer,,"Note: ""a large proportion of participants failed to fast or refused blood drawing, so sample sizes fro blood values were substantially smaller than for other measures"""
Phoebe,CHIN1-B,Han,M,28,28-71,69,46.7,8.7,N/A,,174,34,,mg/dL,54,16,mg/dl,,,98,33,mg/dl,,115,82,mg/dl,,,,,,,,Serum triglycerides by ABA 200/Serum cholesterol by ABA 200 bio chromatic analyzer,,"Note: ""a large proportion of participants failed to fast or refused blood drawing, so sample sizes fro blood values were substantially smaller than for other measures"""
Phoebe,CHN10,Chinese,M/F,,,,45.1,11.9,1679,N,5,0.9,,mmol/L,1.3,0.3,mmol/L,,,,,,1.1,,0.7,mmol/L,,,,,,,,,,
Phoebe,CHN11,Chinese,M,,,,36.7,0.3,910,N,5.25,0.03,,mmol/L,,,,,,,,,1.14,,"(1.09,1.19)",mmol/L,,,,,,,,,,
Phoebe,CHN11,Chinese,F,,,,38.6,0.4,603,N,4.79,0.04,,mmol/L,,,,,,,,,0.75,,"(0.72,0.78)",mmol/L,,,,,,,,,,
EM,CHN12,Chinese,M,35,35-44,44,,,6556,N,,,,,,,,,,102.6,42.2,mg/dl,,,,,,,,,,,,,,
EM,CHN12,Chinese,M,45,45-54,54,,,555.4,N,,,,,,,,,,104.7,39.4,mg/dl,,,,,,,,,,,,,,
EM,CHN12,Chinese,M,55,55-64,64,,,3835,N,,,,,,,,,,111.6,40.4,mg/dl,,,,,,,,,,,,,,
EM,CHN12,Chinese,F,35,35-44,44,,,6617,N,,,,,,,,,,100.4,39.6,mg/dl,,,,,,,,,,,,,,
EM,CHN12,Chinese,F,45,45-54,54,,,4727,N,,,,,,,,,,110.9,42.3,mg/dl,,,,,,,,,,,,,,
EM,CHN12,Chinese,F,55,55-64,64,,,2648,N,,,,,,,,,,122.6,43.8,mg/dl,,,,,,,,,,,,,,
Phoebe,CHN13,Kazak,M,,,,49.1,,380,N,208.5,,,mg/dL,42.4,,mg/dL,,,88.8,,mg/dL,106.2,,,mg/dL,,,,,,,,"auto-analyzer (ADVIA1650; Siemens, NY, USA)",,
Phoebe,CHN13,Kazak,F,,,,46,,548,N,196.9,,,mg/dL,50.2,,mg/dL,,,73.4,,mg/dL,79.6,,,mg/dL,,,,,,,,"auto-analyzer (ADVIA1650; Siemens, NY, USA)",,
Phoebe,CHN14,Chinese,M,,,,69,5.6,943,N,5.1,2.3,,mmol/L,1.3,0.3,mmol/l,,,3.2,0.8,mmol/l,1.4,,0.8,mmol/l,,,,,,,,,,
Phoebe,CHN14,Chinese,F,,,,66.7,6.8,1391,N,5.5,1,,mmol/L,1.4,0.5,mmol/l,,,3.4,1.1,mmol/l,1.7,,1.1,mmol/l,,,,,,,,,,
Ashley,CHN15-B,Chinese Urban,M,28,28-69,69,46.4,8.5,,,,,,,54,15,mg/dl,,,117,38,mg/dl,,126,102,mg/dl,,,,,,,,,,
Ashley,CHN15-B,Chinese Urban,F,28,28-69,69,45.3,7.9,,,,,,,58,14,mg/dl,,,117,38,mg/dl,,129,108,mg/dl,,,,,,,,,,
Ashley,CHN15-C,Chinese Rural,F,28,28-69,69,46,9.5,,,,,,,53,13,mg/dl,,,99,32,mg/dl,,100,74,mg/dl,,,,,,,,,,
Ashley,CHN15-C,Chinese Rural,M,28,28-69,69,46.7,8.7,,,,,,,54,16,mg/dl,,,98,33,mg/dl,,115,82,mg/dl,,,,,,,,,,
Ashley,CHN17-A,Chinese Non-MetS,M,44,44-55,55,49,,111,N,,,,,1.3,,mmol/L,,,3,,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-A,Chinese Non-MetS at follow-up,M,45,45-55,55,49,,69,N,,,,,1.3,,mmol/L,,,3,0.8,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-A,Chinese Non-MetS,F,43,43-54,54,47.5,,142,N,,,,,1.5,,mmol/L,,,3.1,,mmol/L,,,,,,,,,,,,,,
Ashley,CHN17-A,Chinese Non-MetS at follow-up,F,44,44-53,53,47,,108,N,,,,,1.6,,mmol/L,,,3.1,0.8,mmol/L,,,,,,,,,,,,,,
