BLV,Who,StudyID,Article link,CrudeName,EthnicGroup,EthnicGroup_Notes,Population,Subpopulation,Other_Classification,Location,DPlaceID,DPlaceID_2,DPlaceID_3,DPlaceID_4,DPlaceID_5,Biome,Country,Lattitude,Longitude,Region,PubDate,TimeFrame,EconBase_TOS,ECONNOTES,EconBase_TRAD,Sedentary,AcculturationLevel,Acculturation_quant,AccNotes,DietStaples,SmokingNotes,AlcoholNotes,ReferenceSource,Notes,AdditionalSources
"1,3,4,6",FION,AUA1-B,AUA1,Australian Aboriginals,Australian Aborigines,"References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ",Northern Aranda,Australian Aborigines,(Albumin/Creatine Ratio 2 Group),Northern Territory Aboriginal Island,SCCS91,,,,,Savanna,Australia,-25.2744,133.7751,Austrailia,1998,1992-1995,W,,FG,sedentary,semi-acculturated,3,"unspecified changes due to ""westernization"" leading to poor health ",,75% of M/F adults,25% of M/F adults,"Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",,"https://www.encyclopedia.com/places/australia-and-oceania/australian-and-new-zealand-political-geography/aranda
https://www.britannica.com/topic/Aranda"
"1,3,4,6",FION,AUA1-C,AUA1,,Australian Aborigines,"References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ",Northern Aranda,Australian Aborigines ,(Albumin/Creatine Ratio 3 Group),Northern Territory Aboriginal Island,SCCS91,,,,,Savanna,Australia,-25.2744,133.7751,Austrailia,1998,1992-1995,W,,FG,sedentary,semi-acculturated,3,"unspecified changes due to ""westernization"" leading to poor health ",,75% of M/F adults,25% of M/F adults,"Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",,"https://www.encyclopedia.com/places/australia-and-oceania/australian-and-new-zealand-political-geography/aranda
https://www.britannica.com/topic/Aranda"
"1,3,4,6",FION,AUA1-D,AUA1,Australian Aboriginals,Australian Aborigines,"References include Australian Aborigines, Navajo, Northern Aranda found in D-place by location. The Aranda are found in the northern territory. ",Northern Aranda,Australian Aborigines ,(Albumin/Creatine Ratio 4 Group),Northern Territory Aboriginal Island,SCCS91,,,,,Savanna,Australia,-25.2744,133.7751,Austrailia,1998,1992-1995,W,,FG,sedentary,semi-acculturated,3,"unspecified changes due to ""westernization"" leading to poor health ",,75% of M/F adults,25% of M/F adults,"Hoy, Wendy E, et al. The Multidimensional Nature of Renal Disease: Rates and Associations of Albuminuria in an Australian Aboriginal Community. Kidney International 1998, www.sciencedirect.com/science/article/pii/S0085253815307535.",,"https://www.encyclopedia.com/places/australia-and-oceania/australian-and-new-zealand-political-geography/aranda
https://www.britannica.com/topic/Aranda"
"1,3,4,6","AYANA, ASHLEY",AUA2,AUA2,Australian Aboriginals,Australian Aborigines,"References do not include any additional population names-- only classified as australian aborigines. Based on yarmir v. australia there are 4 populations there. Not sure which to classiy as. Described in the amended Native Title Determination Application as the
Mandilarri-Ildugij, Mangalarra, Muran, Gadurra, Minaga, Ngayndjagar and
Mayorram peoples under the wider classification of australian aborigines",Australian Aborigines,,,Minjilang; Croker Island,SCCS90,,,,,Savanna,Australia,-11.14879,132.58001,Australia,1994,1989,FG,,FG,sedentary,semi-acculturated,2,Intervention study ,"""Traditional foods are procured irregularly""",,"""Alcohol is prohibited by the com- munity under the Northern Territory Restricted Areas legislation""","M. Orr, et al. ""A Comparison of Anthropometric Indices Of Nutritional Status of Takanoan and Achuar Amerindians"" ","The peoples of the region traditionally lived as hunters, gatherers, and fishers, drawing on the sea for most of their protein, through fish, turtle, dugong and shellfish. Despite these technological changes, however, the basic mode of subsistence did not change.","https://dobes.mpi.nl/projects/iwaidja/people/
https://www.informea.org/sites/default/files/court-decisions/Yarmirr.pdf
"
6,"AYANA, ASHLEY",BAA1-A,BAA1,Aboriginal,Bayaka,"Spelling variation, but found in d place ",BaAka,Mossapoula,,Dzanga Sangha Protected Areas (ADPS),B61,,,,,Savanna,Central African Republic ,6.611111,20.939444,Africa,2014,2012,FG,,FG,Increased migration ,semi-acculturated,2,"""has not yet fully integrated in to the cahs economy and have experienced deteriorating long-term trade relationships with other regional groups and abandonment of traditional hunting practices int he face of increased migration, gun hunting, and wildlife declines""","Poor dietary diversity and low frequency of purchased foods, decreased consumption of meat and forest products ",,,"""Examining short term nutritional status among BaAka foragers in transitional economies"" Remis et.al.",,
6,AYANA,BAA1-B,BAA1,Aboriginal,Bayaka,"Spelling variation, but found in d place ",BaAka,Yandoumbé,,Dzanga Sangha Protected Areas (ADPS),B61,,,,,Savanna,Central African Republic ,6.611111,20.939444,Africa,2014,2012,FG,,FG,Increased migration ,semi-acculturated,2,"""has not yet fully integrated in to the cahs economy and have experienced deteriorating long-term trade relationships with other regional groups and abandonment of traditional hunting practices int he face of increased migration, gun hunting, and wildlife declines""",Poor dietary diversity and low frequency of purchased foods ,,,"""Examining short term nutritional status among BaAka foragers in transitional economies"" Remis et.al.",,
3,"KIKI, ASHLEY",BAN1-A,BAN1,Southern Africa,Bantu ,"All references used in the paper specifically reference the Bantu. Bantu are a population of millions, could be the nama (but they are nomadic, this group is not nomadic) there are other sub populations mentioned in literature ",Bantu migrant workers,Natal,,Northern Botswana,Aa3,SCCS1,,,,Warm-temperate desert,Botswana,-19,22.937506,Africa,1971,1970,W,,FG,sedentary,acculturated ,4,based on profession,,,,"Truswell, Mann, Epidemiology of Serum Lipids in Southern Africa ",,
3,KIKI,BAN1-B,BAN1,Southern Africa,Bantu ,"All references used in the paper specifically reference the Bantu. Bantu are a population of millions, could be the nama (but they are nomadic, this group is not nomadic) there are other sub populations mentioned in literature ",Bantu medical students,Natal,,Northern Botswana,Aa3,SCCS1,,,,Warm-temperate desert,Botswana,-19,22.937506,Africa,1971,1969,W,,FG,sedentary,acculturated ,4,based on profession,,,,"Truswell, Mann, Epidemiology of Serum Lipids in Southern Africa ",,
3,KIKI,BAN1-C,BAN1,Southern Africa,Bantu ,"All references used in the paper specifically reference the Bantu. Bantu are a population of millions, could be the nama (but they are nomadic, this group is not nomadic) there are other sub populations mentioned in literature ",Bantu hospital workers,Natal,,Northern Botswana,Aa3,SCCS1,,,,Warm-temperate desert,Botswana,-19,22.937506,Africa,1971,1969,W,,FG,sedentary,acculturated ,4,based on profession,,,,"Truswell, Mann, Epidemiology of Serum Lipids in Southern Africa ",,
3,KIKI,BAN1-D,BAN1,Southern Africa,Kung,"The Kung were explicitly named in the paper, I removed the ! so that the name would be easier to search in analysis",Kung! Bushmen,Dobe and Xoxgana,,Northern Botswana,Aa1,,,,,Warm-temperate desert,Botswana,-19,24.684866,Africa,1971,1969,FG,,FG,nomadic,unacculturated,1,based on profession,"Low, fat, protein, calorie",,,"Truswell, Mann, Epidemiology of Serum Lipids in Southern Africa ",,
2,KIKI,BAN2,*need to find in database* ,Bantu,Zulu ,The zulu are also bantu-- do we want to classify as Bantu so they can be grouped with the Bantu during analysis? Or keep as just Bantu? They other paper made no indication that it may also be zulu.,Bantu,Zulu,,Sub-Saharan Africa,Ab12,,,,,Warm-temperate desert,South Africa,-30.5595,22.9375,Africa,1960,1960,H,,H,sedentary,semi-acculturated,2,"""live in a fashion typical of the great mass of the Bantu of Africa""",,,,"W. Laurie, et al. ""Coronary heart disease in the South Africa Bantu""",,
"1,3,4,6",AYANA,BAN3,BAN3,Amondava,Amondawa,Bantu of Madilu used as a control... this explains the location confusion. Should i replicate the d-place from amondawa on line 12?,,,,Uru-Eu-Uau-Uau,Ab12,,,,,Tropical Rainforest ,Brazil ,-11,-63.9038887,South America,1999,1997,H,,H,sedentary,acculturated,4,Their first contact with Western culture occurred in about 1930. All inhabitants have a basic education and can speak English in addition to Kiswahili. First-level health aid is available.,"Canned food rare. Large amounts of vegetable foods (80-82% of energy intake), and is very low in animal fat. Salt intake is estimated at 4g/day. ",Cigarettes are rare,,"""Effects of a traditional lifestyle on the cardiovascular risk pro®le: the Amondava population of the Brazilian Amazon. Comparison with matched African, Italian and Polish populations"" Pavan et.al. ",Population size unifferentiated,
"1,3,6",AYANA,BAN4,BAN4,Cameroonian pygmies,Bedzan,"Not sure how to classify as no alternative names are suggested and this is a large classification, but Camaroonian pygmies is a dated term

http://www.pygmies.org/bedzan/
",Bantu,,,Camaroon,,,,,,Tropical Rainforest ,Camaroon ,7.3697219,12.354722,Africa,2012,2011,H,,H,sedentary,acculturated ,3,,,,,"""Effects of hunter-gatherer subsistence mode on arterial distensibility in Camaroonian Pygmies"" Lemogoum et.al. ",,
"1,6","KIKI, ASHLEY",BRAM1-A,,Surui,Surui,"Expllicity named in the paper, removed the accent marks for analysis",Suruí,,,Aripuana Indian Park,,,,,,Tropical Rainforest,Brazil,14.235,51.9253,South America,1991,1988,H,horticulturist / subsistence / purchased goods,H,sedentary,semi-acculturated,2,,,"""flow of cash into the local economy has increaaed tobacco and alcohol use""",,"(Millicent Fleming-Moran) ""Blood pressure levels of the Surui and Zoro Indians of the Brazillian amazon: group and sex-specific effects resulting from tbody compoition, health status, and age""",,https://terrasindigenas.org.br/en/terras-indigenas/3858
"1,6",KIKI,BRAM1-B,,Zoro,Zoro,"Expllicity named in the paper, removed the accent marks for analysis",Zoró,,,Aripuana Indian Park,,,,,,Tropical Rainforest,Brazil,14.235,51.9253,South America,1991,1988,H,,H,sedentary,unacculturated,1,,"maize, manioc, yams, and sweet potatoes, supplemented by forest fruits, nuts, game meat, and fish",,,"(Millicent Fleming-Moran) ""Blood pressure levels of the Surui and Zoro Indians of the Brazillian amazon: group and sex-specific effects resulting from tbody compoition, health status, and age""",,https://terrasindigenas.org.br/en/terras-indigenas/3911
"1, 6","KIKI, ASHLEY",BUSH1,,Bushmen,Nama,"Per brittainica, Nama is the accepted name for the San. San means bush dwellers",San ,,,Bechuanaland Protectorate,Aa3,,,,,Warm-temperate desert,Botswana,-22.328474,24.684866,Africa,1960,1958-1960,FG,,FG,nomadic,unacculturated,1,"""primitive conditions"" / no form of agriculture / water supply and density of game determine their abode and migration","wild game, melon, roots, and other wild vegetation",smoke when tobacco is abvailable ,no drinking,Blood Pressure in Bushmen of the Kalahari Desert (Kaminer),,https://www.britannica.com/topic/San
1,AYANA,CAR1,,Tropics and Subtropics,Caraja,"Changed to the singular form, removed accent mark ",Carajas,,,Araguaia River,Sj1,,,,,Tropical Rainforest,Brazil ,-5.376111,-48.718889,South America,1993,1958,FG,,FG,sedentary,unacculturated,1,"""still live in large family groups""",,,,"""BLOOD-PRESSURE IN RELATION TO AGE AND SEX IN THE TROPICS AND SUBTROPICS"" FRANK W. LOWENSTEIN",,
1,"KIKI, ASHLEY",CAY1,,,Kayapo,Changed to D place spelling ,Cayapo,Txukahamae,,"Porori Village, Northern Region of the state of Mato Grosso ",Sj9,,,,,Tropical Rainforest,Brazil ,-14.235,51.9253,South America,1971,,FG,,FG,sedentary,unacculturated,1,"""the village is completely isolated by land from other neo-Brazilian population""",,,,,,
"1,6","AYANA, ASHLEY",CHI1,,New Guinea,Simbu,"Refer to D-Place, spellign variation",Chimbu ,,,"Mintima, Wandi, Gumine",Ig8,,,,,Tropical Rainforest ,New Guinea,-9.46707,147.19603,Oceania,2005,,FG,,FG,sedentary,unacculturated,1,"""small and relatively isolated communties in which a subsistence economy is still the rule, and traditional family authority and security is still the rule""",,,,"""A New Guinea Population in whch blood pressure appears to fall as age advances"" Maddocks, Rovin ",,
"1,3,6","FION, ASHLEY",CHIM1,,Natives of New Guinea and Australians ,Simbu,"Refer to D-Place, spellign variation",Chimbu ,,Chimbu Natives,,Ig8,,,,,Tropical Rainforest,Papua New Guinea,-6.314993,143.95555,Oceania,1958,,IA,,H,sedentary,semi-acculturated,2,employed 18% chimbu,"sweet potato staple, taro, maize, banana, beans, and nuts", ,,"Wolfe, M. S. De, and H. M. Whyte. “Serum Cholesterol And Lipoproteins In Natives Of New Guinea And Australians.” Australasian Annals of Medicine, vol. 7, no. 1, 1958, pp. 47–54., doi:10.1111/imj.1958.7.1.47.",,
"1,6","KIKI, ASHLEY",CHIM2-A,,Natives in New Guinea,Simbu,"Refer to D-Place, spellign variation",Chimbu ,,Highland Chimbu,Central Highlands New Guinea,Ig8,,,,,Tropical Rainforest,Papua New Guinea,-6.314993,143.95555,Oceania,1958,,H,,H,sedentary,unacculturated,1,"""little association with civilization since contact was made in 1933""",,,,"H.M. Whyte ""Body Fat and Blood Pressure of Natives in New Guinea: Reflections on Essential Hypertension""",,
"1,6",KIKI,CHIM2-B,,Natives in New Guinea,Simbu,"Refer to D-Place, spellign variation",Chimbu,,Coastland Chimbu,Kikori and Aird Hills,Ig8,,,,,Tropical Rainforest,Papua New Guinea,-6.314993,143.95555,Oceania,1958,,IA,,H,sedentary,semi-acculturated,2,"""had longer contact with Europeans...They do not lack salt""",,,,"H.M. Whyte ""Body Fat and Blood Pressure of Natives in New Guinea: Reflections on Essential Hypertension""",,
"1,6","KIKI, ASHLEY",CHN1-A,,Ethnic Minority in China,Yi,"I am not sure if Yi as a group is specifically indigenous, but it is listed as a minority group of China ",Yi ,,farmers,Sichuan province,Ed2,ACCS67,,,,Temperate Rainforest ,China,30.2638,102.8055,Asia,1991,1989,IA,subsistence agriculture,H,sedentary,unacculturated,1,84 - 96% are illiterate or semi-illiterate,"potatoes, corn, buckwheat, oats, and rice (small amounts of salt and meat)","64.1% smokers (male), smoke homegrown ""Lanhua"" tobacco",53.6% drink alcohol (male),"He et al. ""Migration blood pressure pattern, and hypertension: The Yi MIgrant Study""",,
"1,6",KIKI,CHN1-B,,Ethnic Minority in China,Yi,"I am not sure if Yi as a group is specifically indigenous, but it is listed as a minority group of China ",Yi ,,migrants,Sichuan province,Ed2,ACCS67,,,,Temperate Rainforest ,China,30.2638,102.8055,Asia,1991,1989,W,managerial / professional,,sedentary,semi-acculturated,3,61% through middle school,"rice, meat, and fresh vegetables","71.3% smokers (male), prevalence of smoking was high",58.3% drink alcohol (male) ,"He et al. ""Migration blood pressure pattern, and hypertension: The Yi MIgrant Study""",,
"1,6",KIKI,CHN1-C,,,Han ,The han are indigeous to this landlocked province. No other names suggested,Han ,,,Sichuan province,Ed2,ACCS67,,,,Temperate Rainforest ,China,30.2638,102.8055,Asia,1991,1989,W,unemployed,H,sedentary,acculturated,3,73% though middle school,"rice, meat, and fresh vegetables","72.9% smokers (male), prevalence of smoking was high",40.1% drink alcohol (male),"He et al. ""Migration blood pressure pattern, and hypertension: The Yi MIgrant Study""",,
"1, 6","FION, ASHLEY",COF1,,Amazonian population,Cofan ,Removed accent mark for analysis,Cofán,,,Dureno and Zabalo,,,,,,Tropical Rainforest,Equador,0,-76,South America,2006,,IA,agriculture,H,sedentary,acculturated,4,"traditional Cofán land has been over-hunted by colonists; degraded by farming, ranching and logging; and polluted by oil spills",dietary staple is yucca,,,"Fitton, Lori J. “Aging in Amazonia: Blood Pressure and Culture Change among the Cofán of Ecuador.” Journal of Cross-Cultural Gerontology, vol. 20, no. 2, 2005, pp. 159–179., doi:10.1007/s10823-005-9089-1.",,
6,FION,COF2,,Amazonian population,Cofan ,Removed accent mark for analysis,Cofán,,,Dureno and Zabalo,,,,,,Tropical Rainforest,Equador,1.8312,-78.1834,South America,2000,,IA,agriculture,H,sedentary,acculturated,4,"traditional Cofán land has been over-hunted by colonists; degraded by farming, ranching and logging; and polluted by oil spills",dietary staple is yucca,,,"Fitton, L. J. (2000), Helminthiasis and culture change among the Cofán of Ecuador. Am. J. Hum. Biol., 12: 465-477. doi:10.1002/1520-6300(200007/08)12:4<465::AID-AJHB6>3.0.CO;2-9",,
1,"KIKI, ASHLEY",CUNA1,,Indians/ San Blas Indians,Guna,See d-place,Cuna ,,"Nargana Island, Cuepti Island, Carti Sugtup Island, Carti Yantup Island, Mirya Ubigantup Island, Carti Tupile Island ",San Blas Archipelago ,Sa1,SCCS158,,,,Tropical Rainforest,Panama,8.537981,-80.782127,Central America ,1943,,H,horticulturists ,H,sedentary,unacculturated,1,,"coconut milk, fried/boiled green bananas, plantain, sugar cana, cocoa, yams, yucca, mangoes, oranges, pineapple, papaya. (rarely: pecarry, fowl, or deer)", ,,The Blood pressure of the Cuna Indians (Kean),,
"1,4,6","KIKI, ASHLEY",ESK1,,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,Alaskan Eskimos ,,,"Norton Sound Region, Western Alaska",B369,,,,,Arctic-Alpine desert,United States of America,64.2008,-165.4937,North America ,2005,2000-2004,FG,,FG,sedentary,semi-acculturated,2,Younger eskimos have more westernized diets and lower rates of physical activity than their elders did at the the same age.,fish,,,A genetic and epidemiologic study of cardiovascular disease in Alaska natives (GOCADAN): design and methods (Howard),,
,KIKI,ESK2,,Eskimos,Inuit,Should I specify Norton sounds inuit? Or keep as inuit for grouping in analysis?,Alaska Eskimos,Inupiat; Central Yupik; Siberian Yupik,,Norton Sound Region,B369,,,,,Arctic-Alpine desert,United States of America,64.2008,-165.4937,Alaska,2005,1994,FG,,FG,sedentary,unacculturated,1,living in their own cultural environment',fish,,,"(Ebesson) 'Eskimos have CHD despite high consumption of omega-3 fatty acids: the alaska siberia project""",,
